n_sku,ds,y
1,2016-01-01,5064.78
2,2016-01-01,37562.42
3,2016-01-01,23636.02
4,2016-01-01,2323.36
5,2016-01-01,972.63
1,2016-01-02,4862.1888
2,2016-01-02,39440.541
3,2016-01-02,24345.1006
4,2016-01-02,2300.1264
5,2016-01-02,953.1774
1,2016-01-03,4910.810688
2,2016-01-03,40229.35182
3,2016-01-03,23858.19859
4,2016-01-03,2254.123872
5,2016-01-03,991.304496
1,2016-01-04,5058.135009
2,2016-01-04,39022.47127
3,2016-01-04,24573.94455
4,2016-01-04,2141.417678
5,2016-01-04,1030.956676
1,2016-01-05,5159.297709
2,2016-01-05,39802.92069
3,2016-01-05,25556.90233
4,2016-01-05,2034.346794
5,2016-01-05,1041.266243
1,2016-01-06,5210.890686
2,2016-01-06,38608.83307
3,2016-01-06,26068.04037
4,2016-01-06,1973.316391
5,2016-01-06,1062.091567
1,2016-01-07,5315.1085
2,2016-01-07,37450.56808
3,2016-01-07,25285.99916
4,2016-01-07,2032.515882
5,2016-01-07,1104.57523
1,2016-01-08,5527.71284
2,2016-01-08,36327.05104
3,2016-01-08,25033.13917
4,2016-01-08,2052.841041
5,2016-01-08,1159.803992
1,2016-01-09,5638.267096
2,2016-01-09,37780.13308
3,2016-01-09,24282.145
4,2016-01-09,2114.426272
5,2016-01-09,1217.794191
1,2016-01-10,5525.501754
2,2016-01-10,38913.53707
3,2016-01-10,23310.8592
4,2016-01-10,2093.28201
5,2016-01-10,1156.904482
1,2016-01-11,5359.736702
2,2016-01-11,39691.80781
3,2016-01-11,24010.18497
4,2016-01-11,2135.14765
5,2016-01-11,1168.473526
1,2016-01-12,5574.12617
2,2016-01-12,40485.64397
3,2016-01-12,23529.98127
4,2016-01-12,2092.444697
5,2016-01-12,1145.104056
1,2016-01-13,5629.867432
2,2016-01-13,38461.36177
3,2016-01-13,24706.48034
4,2016-01-13,2008.746909
5,2016-01-13,1122.201975
1,2016-01-14,5686.166106
2,2016-01-14,36538.29368
3,2016-01-14,25694.73955
4,2016-01-14,1968.571971
5,2016-01-14,1155.868034
1,2016-01-15,5743.027767
2,2016-01-15,35442.14487
3,2016-01-15,26208.63434
4,2016-01-15,2007.94341
5,2016-01-15,1190.544075
1,2016-01-16,5685.597489
2,2016-01-16,36859.83066
3,2016-01-16,26994.89337
4,2016-01-16,2068.181713
5,2016-01-16,1154.827753
1,2016-01-17,5856.165414
2,2016-01-17,37228.42897
3,2016-01-17,26724.94444
4,2016-01-17,2006.136261
5,2016-01-17,1189.472585
1,2016-01-18,5680.480452
2,2016-01-18,35739.29181
3,2016-01-18,26992.19388
4,2016-01-18,1905.829448
5,2016-01-18,1237.051489
1,2016-01-19,5907.69967
2,2016-01-19,36811.47057
3,2016-01-19,27801.9597
4,2016-01-19,1829.59627
5,2016-01-19,1187.569429
1,2016-01-20,6084.93066
2,2016-01-20,37915.81468
3,2016-01-20,28636.01849
4,2016-01-20,1866.188196
5,2016-01-20,1199.445124
1,2016-01-21,5902.38274
2,2016-01-21,36778.34024
3,2016-01-21,29781.45923
4,2016-01-21,1884.850078
5,2016-01-21,1175.456221
1,2016-01-22,6079.454222
2,2016-01-22,37881.69045
3,2016-01-22,28888.01545
4,2016-01-22,1866.001577
5,2016-01-22,1151.947097
1,2016-01-23,6140.248764
2,2016-01-23,39018.14116
3,2016-01-23,29754.65592
4,2016-01-23,1884.661593
5,2016-01-23,1140.427626
1,2016-01-24,6324.456227
2,2016-01-24,39798.50399
3,2016-01-24,30349.74903
4,2016-01-24,1846.968361
5,2016-01-24,1163.236178
1,2016-01-25,6261.211665
2,2016-01-25,40196.48903
3,2016-01-25,28832.26158
4,2016-01-25,1828.498677
5,2016-01-25,1186.500902
1,2016-01-26,6198.599548
2,2016-01-26,38990.59436
3,2016-01-26,29697.22943
4,2016-01-26,1846.783664
5,2016-01-26,1222.095929
1,2016-01-27,6074.627557
2,2016-01-27,40160.31219
3,2016-01-27,30291.17402
4,2016-01-27,1791.380154
5,2016-01-27,1173.212092
1,2016-01-28,5953.135006
2,2016-01-28,39758.70907
3,2016-01-28,30896.9975
4,2016-01-28,1827.207757
5,2016-01-28,1161.479971
1,2016-01-29,6012.666356
2,2016-01-29,38963.53488
3,2016-01-29,31514.93745
4,2016-01-29,1772.391524
5,2016-01-29,1126.635572
1,2016-01-30,6072.79302
2,2016-01-30,37794.62884
3,2016-01-30,31199.78807
4,2016-01-30,1790.11544
5,2016-01-30,1104.10286
1,2016-01-31,6376.432671
2,2016-01-31,36660.78997
3,2016-01-31,30887.79019
4,2016-01-31,1772.214285
5,2016-01-31,1137.225946
1,2016-02-01,6185.139691
2,2016-02-01,38493.82947
3,2016-02-01,31196.66809
4,2016-02-01,1807.658571
5,2016-02-01,1103.109168
1,2016-02-02,6123.288294
2,2016-02-02,39648.64435
3,2016-02-02,31820.60146
4,2016-02-02,1771.505399
5,2016-02-02,1147.233534
1,2016-02-03,6306.986943
2,2016-02-03,39252.15791
3,2016-02-03,32457.01349
4,2016-02-03,1806.935507
5,2016-02-03,1193.122876
